,minutes,bonus,bps,total_points,output_clean_sheets
56063,90,0,7,2,0
56637,90,0,9,2,0
57074,90,0,13,2,0
58425,90,0,7,2,0
59127,21,0,14,4,0
59743,0,0,0,0,0
60498,5,0,3,1,0
61148,45,0,9,1,0
61871,90,0,9,1,0
61872,90,0,14,2,0
62970,90,0,9,2,0
63513,20,0,0,0,0
63514,66,0,14,2,0
64506,90,0,13,2,0
65387,90,0,9,1,0
65883,90,0,12,2,0
66655,0,0,0,0,0
68245,0,0,0,0,0
69026,0,0,0,0,0
69661,0,0,0,0,0
69662,0,0,0,0,0
71365,0,0,0,0,0
71700,0,0,0,0,0
72616,0,0,0,0,0
73192,2,0,3,1,0
73778,29,0,3,1,0
74374,16,0,6,1,0
74976,0,0,0,0,0
75591,0,0,0,0,0
76659,0,0,0,0,0
77300,0,0,0,0,0
77942,0,0,0,0,0
78557,0,0,0,0,0
79171,0,0,0,0,0
79824,0,0,0,0,0
80484,0,0,0,0,0
81148,0,0,0,0,0
81818,64,0,6,2,0
82494,45,0,5,1,0
83203,0,0,0,0,0
84006,0,0,0,0,0
84784,0,0,0,0,0
85534,0,0,0,0,0
85535,0,0,0,0,0
86354,0,0,0,0,0
87134,0,0,0,0,0
87874,0,0,0,0,0
88629,0,0,0,0,0
89452,0,0,0,0,0
90189,0,0,0,0,0
91014,0,0,0,0,0
91015,0,0,0,0,0
92027,0,0,0,0,0
92782,13,0,3,1,0
93477,10,0,5,1,0
94154,0,0,0,0,0
95001,19,0,3,1,0
95893,79,0,4,2,0
96687,45,0,13,1,0
97567,61,0,6,2,0
98430,90,0,21,2,0
47892,0,0,0,0,0
48468,11,0,1,1,0
49064,10,0,5,1,0
49668,2,0,3,1,0
50277,0,0,0,0,0
50889,1,0,4,1,0
51504,1,0,4,1,0
52122,0,0,0,0,0
52744,13,0,3,1,0
53368,1,0,3,1,0
53997,0,0,0,0,0
54591,0,0,0,0,0
55207,23,0,1,1,0
55846,68,0,-1,2,0
56451,0,0,0,0,0
56943,29,0,3,1,0
57652,18,0,4,1,0
58110,90,0,7,2,0
58453,74,0,12,2,0
59164,90,3,32,9,0
60249,90,0,10,5,1
60922,83,0,13,5,0
61602,0,0,0,0,0
62528,0,0,0,0,0
62997,0,0,0,0,0
64173,0,0,0,0,0
64174,0,0,0,0,0
65129,0,0,0,0,0
65922,0,0,0,0,0
66692,0,0,0,0,0
67451,0,0,0,0,0
68287,0,0,0,0,0
69063,0,0,0,0,0
70446,0,0,0,0,0
70447,0,0,0,0,0
71072,0,0,0,0,0
72185,0,0,0,0,0
22994,12,0,3,1,0
23533,73,0,7,2,0
24087,24,0,5,1,0
24649,77,0,4,2,0
25366,60,0,14,3,1
25956,90,0,4,2,0
26555,90,0,20,3,1
27155,45,0,18,4,0
27756,8,0,3,1,0
28344,0,0,0,0,0
28902,0,0,0,0,0
29509,85,0,4,3,1
30116,90,0,14,2,0
30727,45,0,10,1,0
31308,0,0,0,0,0
31820,21,0,5,1,0
32338,0,0,0,0,0
32875,0,0,0,0,0
33750,0,0,0,0,0
34396,11,0,3,1,0
35049,23,0,3,1,0
35713,15,0,3,1,0
36418,28,0,10,1,0
37196,22,0,2,1,0
38047,45,0,4,1,0
39349,90,2,27,9,0
40068,90,0,16,2,0
40515,90,0,13,3,1
41032,87,0,11,2,0
41722,90,0,19,3,1
42411,30,0,4,1,0
43023,90,0,13,2,0
43612,0,0,0,0,0
44496,0,0,0,0,0
45260,23,0,3,1,0
45914,41,0,8,1,0
46623,45,0,9,1,0
47334,45,0,7,1,0
47897,79,0,14,3,1
48473,58,0,8,1,0
49069,90,0,9,3,1
49673,90,0,18,2,0
50282,90,0,5,1,0
50894,90,0,19,3,1
51510,90,0,13,2,1
52128,90,0,11,1,0
52750,76,0,25,5,0
53374,90,0,7,1,0
54003,90,0,6,2,0
54597,0,0,0,0,0
55213,90,0,11,2,0
55852,0,0,0,0,0
56949,6,0,3,1,0
57657,84,0,19,3,1
58114,90,0,13,2,0
58290,60,0,8,2,0
58982,55,0,9,1,0
58983,0,0,0,0,0
60255,0,0,0,0,0
61609,90,0,17,3,1
61610,0,0,0,0,0
62535,55,0,7,1,0
62841,0,0,0,0,0
64183,0,0,0,0,0
65136,7,0,3,1,0
65137,0,0,0,0,0
65723,0,0,0,0,0
66512,16,0,2,1,0
67231,12,0,3,1,0
67232,0,0,0,0,0
